Date,Brand,Creative Name,Content type,Credit ,Output Link
1-12-25,Cinco,12 New ID card ,Template,6,
1-12-25,Gardener Senthil,Calm teams perform better,Static,1,
1-12-25,Milky Mist,2kg Condensed milk ,Static,1,
2-12-25,Milky Mist,linkedin banner ,Static,1,
2-12-25,Milky Mist,170ml milkshake all  flavours,Static,1,
2-12-25,Milky Mist,India International Mega Trade Fair invitation,Static,1,
2-12-25,others,bento grids 9 design,Carousel,5,
3-12-25,Gardener Senthil,Tired of the overthinking and silence?,Static,1,
3-12-25,BVH,Universal Health Coverage Day,Static,1,
3-12-25,MM - Wearment,Shopping cart,Static,1,
4-12-25,Milky Mist,Blinkit phone Banner,Static,1,
4-12-25,Cinco,Floor Space Index (FSI)  corrections  add new slide ,Static,1,
4-12-25,Milky Mist,Annapoorna interfood invitation,Static,1,
8-12-25,Milky Mist,Side Glow Board resize,Static,0.5,
8-12-25,others,KCP TRIFOLD BROCHURE added 30 photos and some  corrections ,Brochure,3,
9-12-25,Milky Mist,Ice cream times magazine Christmas theme,Static,2,
9-12-25,others,KCP TRIFOLD BROCHURE Corrections ,Static,2,
9-12-25,Milky Mist,Side Glow Board resize 3 creatives,Static,1,
9-12-25,Milky Mist,Asal Creatives adapt,Static,1,
10-12-25,Milky Mist,big basket banner,Static,1,
10-12-25,Milky Mist,Butter Creative,Static,0.5,
10-12-25,Milky Mist,progressive grocer magazine cheese,Static,2,
11-12-25,Milky Mist,Your platform,Static,2,
11-12-25,Milky Mist,Side Glow Board Milk shake ,Static,1,
11-12-25,Milky Mist,Christmas banners 5 adapt ,Template,1,
11-12-25,Milky Mist,New option big basket banner,Static,1,
11-12-25,Milky Mist,progressive grocer magazine Ghee and Condensed milk,Static,1,
12-12-25,Milky Mist,Your platform fitness  magazine,Static,2,
12-12-25,Milky Mist,Air India magazine,Static,1,
12-12-25,Cinco,Friday Linkedin carousel,Carousel,3,
12-12-25,Milky Mist,MMD 20 creatives adapts,Static,3,
16-12-25,Milky Mist,Website 3 Banner ,Static,3,
16-12-25,BVH,corrections for 3 creatives,Static,1,
16-12-25,others,Aster POST...,Static,1,
17-12-25,Milky Mist,Ice cream times magazine,Static,1,
17-12-25,Milky Mist,bahrain national day,Static,1,
17-12-25,Milky Mist,Indusfood 2026 invitation,Static,1,
18-12-25,Milky Mist,Indusfood 2026 invitation new option,Static,1,
18-12-25,BVH,banner Resize,Static,0.5,
18-12-25,others,KCP TRIFOLD BROCHURE added 30 photos and some  corrections ,Brochure,2,
19-12-25,Milky Mist,170ml milkshake all flavours new option,Static,1,
19-12-25,Milky Mist,smart chef / Calendar ,Static,1,
19-12-25,Milky Mist,smart chef / Pizza coming out of laptop screen,Static,1,
19-12-25,Cinco,Why is Coimbatore Friday Linkedin carousel,Carousel,3,
19-12-25,Milky Mist,Creatives adapt,Static,2,
20-12-25,Milky Mist,Gulf Stall Branding 6 Creatives ,Static,,
20-12-25,Milky Mist,BRIYAS - Dishes being cooked,Static,1,
20-12-25,Milky Mist,BRIYAS - Zoom on the glazed tofu cubes,Static,1,
21-12-25,,,,,
