Date,Brand,Creative Name,Content type,Credit ,Output Link
1-12-25,others,KCP- TRIFOLD 2 PAGES,Static,2,
,others,POCO- FEEDBACKS- 11 CREATIVES,Static,3,
,,POCO- CATALOGUE ADAPTS- 2 ,Static,2,
2-12-25,others,POCO- CATALOGUE ADAPTS- 13 ,Static,5,
,,KCP- TRIFOLD 2 PAGES+MOCKUP,Static,2,
,SIG,"PLANT BRANDING - TOP ARCH,SIDE,REGISTRATION & OTHER AREAS",Static,4,
3-12-25,SIG,SLIDE+INVITE FEEDBACK,Static,1,
,others,POCO- FEEDBACKS-,Static,3,
4-12-25,others,poco launch banner and adapts feedback revisions-,Static,4,
,,battery banner version 2 dark- hpw and cpl,Static,2,
8-12-25,others,poco continous flow - first 6 creatives,Static,3,
,SIG,Plant branding- road arch top and front,Static,1,
,,side panels 2 and legs,Static,2,
,,cards- 4,Static,2,
,,welcome and registration standee,Static,2,
,,Thank you card,Static,1,
9-12-25,others,poco 1p64 banner hpw ,Static,1,
,,poco 1p64 banner clp adapt,Static,0.5,
,,poco entertainment banner clp,Static,1,
,,catalogue continous flow first 6,Static,3,
10-12-25,others,poco hlp and clp banner akshay kumars- 2 adapts & variations,Static,4,
,,social media -top reason creative-font chnages and adapt,Static,1,
11-12-25,Cinco,Greenfield Newspaper design+ adapts,Static,2,
,,website banner-desktop and phone - 3 for landing pages,Static,2,
,others,poco comparison creative,Static,1,
,,poco comparison creative- adapt,Static,0.5,
12-12-25,others,poco sale kv adapt+ options,Static,1,
,SIG,Bangladesh creative- 2 options,Static,2,
,others,mmw xmas ad frame,Static,0.5,
,,poco adapt,Static,0.5,
,others,Aster Kottakal creative 2 ,Static,1,
15-12-25,others,poco comparison 1x1 adapt,Static,1,
,,Aster Kottakal creative v2 - 3 options,Static,3,
,Super Saravana,Yogesh resume ,Static,1,
16-12-25,,leave,,,
,,,,,
,,,,,
17-12-25,Cinco,calender corrections,Static,2,
,,billboard mockup- 2 lefta nd right,Static,1,
,SIG,nitin post carousel,Carousel,3,
18-12-25,SIG,Xmas wish post,Static,1,
,Cinco,Customer Registration Form - 2pages,Static,2,
,,Billboard mockup v2,Static,1,
,SIG,ILLUSTRATION- ICONS-4,Static,2,
19-12-25,SIG,Ecovadis post,Static,1,
,,ILLUSTRATION- ICONS-4,Static,2,
,,Customer Registration Form- additions fields- first page,Static,1,
,,Grabv branding- moodboard,Static,1,
,,Infini8 template- logo addition help,Static,0.5,
